Z,A,mass
0,1,939.5654204759348
1,1,938.7830734813572
1,2,1876.1239277295715
1,3,2809.4321181490463
2,3,2809.413526132233
3,3,2823.1490382533207
1,4,3750.597537894952
2,4,3728.401325537765
3,4,3751.2995994109774
1,5,4690.362958631272
2,5,4668.701745133244
3,5,4669.149398843007
4,5,4694.609181949093
1,6,5630.840338939951
2,6,5606.55670872527
3,6,5603.051494946114
4,6,5607.339648148235
5,6,5636.284514905657
1,7,6569.594099328412
2,7,6546.53184418082
3,7,6535.365821551621
4,7,6536.227714172516
5,7,6548.135269691028
2,8,7483.56250162829
3,8,7472.898623008667
4,8,7456.894490562875
5,8,7474.874388135976
6,8,7487.017088162714
2,9,8424.382747217682
3,9,8408.401826673427
4,9,8394.795372156681
5,9,8395.863407459114
6,9,8412.35789237283
2,10,9364.1381702278
3,10,9347.993651374338
4,10,9327.548509947475
5,10,9326.991634828228
6,10,9330.639696413698
7,10,9353.74105102624
3,11,10287.163384426643
4,11,10266.612294860572
5,11,10255.1028338396
6,11,10257.0845232694
7,11,10270.800770201517
8,11,10294.17403912048
3,12,11226.93880568365
4,12,11203.006989613525
5,12,11191.29862665686
6,12,11177.929229005733
7,12,11195.26729640296
8,12,11209.94256308822
3,13,12166.404225703369
4,13,12143.082410655632
5,13,12125.985278865464
6,13,12112.548340756666
7,13,12114.768811862454
8,13,12132.538762774291
9,13,12151.45327681804
4,14,13080.87193585547
5,14,13064.581119332766
6,14,13043.937327119653
7,14,13043.7808506697
8,14,13048.925214779234
9,14,13072.881836537308
4,15,14022.23735606669
5,15,14001.36891484337
6,15,13982.284680711176
7,15,13972.512974353433
8,15,13975.267158111325
9,15,13988.978288346334
10,15,14012.626909716457
4,16,14961.352776492367
5,16,14941.017337125944
6,16,14917.599771004938
7,16,14909.5895458252
8,16,15830.662738923598
9,16,14914.580820043371
10,16,14927.892412896475
5,17,15879.11606247814
6,17,15856.431620406993
7,17,15843.269819257506
8,17,16766.085079296565
9,17,15837.351442000116
10,17,15851.900192224894
11,17,15870.119320770846
5,18,16818.686483307563
6,18,16791.813108531875
7,18,16780.007010419504
8,18,17697.60512959041
9,18,16767.76695528665
10,18,16772.21146016509
11,18,16791.93183490718
5,19,17758.15819650144
6,19,17730.801699515046
7,19,17714.244200888294
8,19,17701.72080294787
9,19,18628.39460322857
10,19,17700.13999877194
11,19,17711.317329981735
12,19,17730.22633982683
5,20,18699.28361632568
6,20,18667.385614253988
7,20,18651.648545824828
8,20,18633.67821935363
9,20,19561.3586871086
10,20,19554.3342185901
11,20,18636.732536351785
12,20,18647.3597420486
5,21,19639.759036770763
6,21,19607.019361778468
7,21,19586.60806525832
8,21,19569.43818377876
