ring A Z kinergy_MeV
2 1 1 4.0199
2 2 1 5.1746
2 3 1 5.9605
2 4 1 6.992266670442508
2 5 1 7.9625666723304285
2 6 1 8.93286667421835
2 7 1 9.903166676106268
2 3 2 14.45
2 4 2 16.0414
2 6 2 18.5632
2 8 2 20.4898
2 5 2 17.08601355905409
2 7 2 19.48670508662135
2 9 2 21.88739661418861
2 10 2 23.087742377972237
2 6 3 30.5553
2 7 3 32.2395
2 8 3 33.7419
2 9 3 35.0819
2 11 3 37.3988
2 3 3 26.732632416522684
2 4 3 28.092410798181355
2 5 3 29.452189179840026
2 10 3 36.25108108813338
2 12 3 38.97063785145072
2 13 3 40.33041623310939
2 9 4 49.4077
2 10 4 51.1737
2 11 4 52.8036
2 12 4 54.2917
2 5 4 42.964130000080566
2 6 4 44.59232000008194
2 7 4 46.22051000008332
2 8 4 47.848700000084705
2 13 4 55.989650000091586
2 14 4 57.61784000009297
2 15 4 59.24603000009435
2 16 4 60.874220000095725
2 8 5 61.9965
2 10 5 66.8471
2 11 5 68.9806
2 12 5 70.9678
2 6 5 57.617188535420425
2 7 5 59.871497115321496
2 9 5 64.38011427512365
2 13 5 73.39734859472796
2 14 5 75.65165717462904
2 15 5 77.90596575453011
2 16 5 80.1602743344312
2 17 5 82.41458291433227
2 18 5 84.66889149423335
2 19 5 86.92320007413441
2 20 5 89.17750865403549
2 21 5 91.43181723393657
2 12 6 88.3833
2 13 6 90.7091
2 14 6 92.8763
2 15 6 94.9222
2 16 6 96.8338
2 8 6 80.07648000015497
2 9 6 82.18789000015741
2 10 6 84.29930000015983
2 11 6 86.41071000016225
2 17 6 99.07917000017683
2 18 6 101.19058000017927
2 19 6 103.30199000018169
2 20 6 105.41340000018411
2 21 6 107.52481000018653
2 22 6 109.63622000018897
2 23 6 111.7476300001914
2 14 7 111.8263
2 15 7 114.2883
2 16 7 116.6259
2 17 7 118.8188
2 18 7 120.9046
2 10 7 102.88052000020036
2 11 7 105.14923000020315
2 12 7 107.41794000020592
2 13 7 109.68665000020869
2 19 7 123.29891000022533
2 20 7 125.5676200002281
2 21 7 127.83633000023087
2 22 7 130.10504000023366
2 23 7 132.37375000023644
2 24 7 134.6424600002392
2 25 7 136.91117000024198
2 16 8 146.7551
2 17 8 139.3471
2 18 8 141.7872
2 19 8 144.1088
2 20 8 146.3081
2 11 8 140.95387000028123
2 12 8 141.3406400002799
2 13 8 141.72741000027855
2 14 8 142.11418000027723
2 15 8 142.5009500002759
2 21 8 144.8215700002679
2 22 8 145.2083400002666
2 23 8 145.59511000026527
2 24 8 145.9818800002639
2 25 8 146.3686500002626
2 26 8 146.75542000026127
2 27 8 147.14219000025994
2 28 8 147.5289600002586
2 18 9 163.2298
2 19 9 165.8983
2 20 9 168.4418
2 21 9 170.8591
2 22 9 173.1706
2 13 9 150.93023993681788
2 14 9 153.4144799458439
2 15 9 155.89871995486993
2 16 9 158.38295996389593
2 17 9 160.86719997292195
2 23 9 175.77264002707804
2 24 9 178.25688003610406
2 25 9 180.7411200451301
2 26 9 183.2253600541561
2 27 9 185.7096000631821
2 28 9 188.1938400722081
2 29 9 190.67808008123416
2 30 9 193.16232009026015
2 31 9 195.64656009928618
2 20 10 190.9081
2 21 10 193.6596
2 22 10 196.27
2 23 10 198.7762
2 15 10 177.86392000035306
2 16 10 180.4853900003566
2 17 10 183.10686000036014
2 18 10 185.72833000036366
2 19 10 188.3498000003672
2 24 10 201.4571500003849
2 25 10 204.0786200003884
2 26 10 206.70009000039198
2 27 10 209.3215600003955
2 28 10 211.94303000039903
2 29 10 214.56450000040257
2 30 10 217.18597000040612
2 31 10 219.80744000040966
2 32 10 222.42891000041317
2 33 10 225.05038000041674
2 34 10 227.67185000042025
2 20 11 213.6367
2 21 11 216.6482
2 22 11 219.5418
2 23 11 222.3159
2 17 11 205.01661002843744
2 18 11 207.90973002219863
2 19 11 210.8028500159598
2 24 11 225.26844998476565
2 25 11 228.1615699785268
2 26 11 231.054689972288
2 27 11 233.9478099660492
2 28 11 236.84092995981035
2 29 11 239.7340499535715
2 30 11 242.6271699473327
2 31 11 245.5202899410939
2 32 11 248.41340993485505
2 33 11 251.30652992861621
2 34 11 254.1996499223774
2 35 11 257.0927699161386
2 36 11 259.98588990989975
2 37 11 262.8790099036609
2 38 11 265.77212989742213
2 39 11 268.6652498911833
2 21 12 240.4919
2 22 12 243.6497
2 23 12 246.7123
2 24 12 249.6308
2 19 12 234.4534200004677
2 20 12 237.50135000047214
2 25 12 252.74100000049452
2 26 12 255.788930000499
2 27 12 258.83686000050346
2 28 12 261.88479000050796
2 29 12 264.9327200005124
2 30 12 267.9806500005169
2 31 12 271.0285800005214
2 32 12 274.07651000052584
2 33 12 277.1244400005303
2 34 12 280.1723700005348
2 35 12 283.2203000005393
2 36 12 286.2682300005437
2 37 12 289.3161600005482
2 38 12 292.36409000055266
2 39 12 295.41202000055716
2 40 12 298.45995000056166
2 41 12 301.5078800005661
2 26 13 280.9568
2 27 13 283.8111
2 28 13 286.566
2 29 13 289.2131
2 21 13 267.2462800005349
2 22 13 269.99866000053873
2 23 13 272.75104000054256
2 24 13 275.5034200005464
2 25 13 278.2558000005502
2 30 13 292.0177000005693
2 31 13 294.7700800005731
2 32 13 297.5224600005769
2 33 13 300.27484000058075
2 34 13 303.0272200005846
2 35 13 305.7796000005884
2 36 13 308.5319800005922
2 37 13 311.28436000059605
2 38 13 314.0367400005999
2 39 13 316.7891200006037
2 40 13 319.5415000006075
2 41 13 322.29388000061135
2 42 13 325.0462600006152
2 43 13 327.798640000619
2 30 14 319.2316
2 31 14 321.945
2 32 14 324.5525
2 33 14 327.0883
2 22 14 298.33563000060064
2 23 14 300.95339000060414
2 24 14 303.5711500006077
2 25 14 306.1889100006112
2 26 14 308.8066700006147
2 27 14 311.42443000061826
2 28 14 314.04219000062176
2 29 14 316.65995000062526
2 34 14 329.7487500006429
2 35 14 332.3665100006464
2 36 14 334.9842700006499
2 37 14 337.6020300006534
2 38 14 340.21979000065693
2 39 14 342.8375500006604
2 40 14 345.455310000664
2 41 14 348.0730700006675
2 42 14 350.690830000671
2 43 14 353.3085900006745
2 44 14 355.926350000678
2 45 14 358.54411000068154
2 30 15 347.9386
2 31 15 350.9135
2 32 15 353.7962
2 33 15 356.595
2 34 15 359.3115
2 24 15 330.96911986201906
2 25 15 333.8118498792667
2 26 15 336.6545798965143
2 27 15 339.4973099137619
2 28 15 342.3400399310095
2 29 15 345.18276994825715
2 35 15 362.2391500517429
2 36 15 365.08188006899053
2 37 15 367.92461008623815
2 38 15 370.76734010348576
2 39 15 373.6100701207334
2 40 15 376.452800137981
2 41 15 379.2955301552286
2 42 15 382.13826017247624
2 43 15 384.98099018972385
2 44 15 387.82372020697153
2 45 15 390.66645022421915
2 46 15 393.50918024146677
2 47 15 396.3519102587144
2 32 16 381.2051
2 33 16 384.1872
