ring	det	theta_min	theta_max	phi_min	phi_max	
2	1	14	28	-18	18
2	2	14	28	18	54
2	3	14	28	54	90
2	4	14	28	90	126
2	5	14	28	126	162
2	6	14	28	162	198
2	7	14	28	198	234
2	8	14	28	234	270
2	9	14	28	270	306
2	10	14	28	306	342
3	1	28	44	-15	15
3	2	28	44	15	45
3	7	28	44	165	195
3	8	28	44	195	225
3	9	28	44	225	255
3	10	28	44	255	285
3	11	28	44	285	315
3	12	28	44	315	345
4	1	44	60	-15	15
4	2	44	60	15	45
4	3	44	60	45	75
4	7	44	60	165	195
4	8	44	60	195	225
4	9	44	60	225	255
4	10	44	60	255	285
4	11	44	60	285	315
4	12	44	60	315	345
5	1	60	80	-12.8571428571428	12.8571428571428
5	2	60	80	12.8571428571428	38.5714285714285
5	3	60	80	38.5714285714285	64.2857142857142
5	7	60	80	141.428571428571	167.142857142857
5	8	60	80	167.142857142857	192.857142857142
5	9	60	80	192.857142857142	218.571428571428
5	10	60	80	218.571428571428	244.285714285714
5	11	60	80	244.285714285714	270
5	12	60	80	270	295.714285714285
5	13	60	80	295.714285714285	321.428571428571
5	14	60	80	321.428571428571	347.142857142857
7	1	100	123	-15	15	
7	2	100	123	15	45	
7	3	100	123	45	75	
7	4	100	123	75	105	
7	5	100	123	105	135	
7	6	100	123	135	165	
7	7	100	123	165	195	
7	8	100	123	195	225	
7	9	100	123	225	255	
7	10	100	123	255	285	
7	11	100	123	285	315	
7	12	100	123	315	345	
8	1	123	147	-18	18
8	2	123	147	18	54
8	3	123	147	54	90
8	5	123	147	126	162
8	6	123	147	162	198
8	7	123	147	198	234
8	8	123	147	234	270
8	9	123	147	270	306
8	10	123	147	306	342
