A   Z   threshold of 43mg/cm2 Sn
1   1   3.096
2   1   3.9559
3   1   4.531
3   2   11.1271
4   2   12.3071
6   2   14.1251
8   2   15.4881
7   3   24.427
8   3   25.4525
9   3   26.3448
11  3   27.8426
10  4   38.5464
11  4   39.6384
12  4   40.6348
14  4   42.3627
10  5   50.4738
11  5   51.9389
12  5   53.2839
13  5   54.5187
14  6   69.5398
15  6   79.9026
16  6   72.1566
17  6   73.3429
15  7   85.5112
16  7   87.0629
17  7   88.5107
18  7   89.8648
17  8   103.8548
18  8   105.4527
19  8   106.9567
20  8   108.3677
21  9   126.3846
22  9   127.8499
23  9   129.2254
24  9   130.5343
20  10  141.5306
21  10  143.2892
22  10  144.9396
23  10  146.5124
22  11  162.0436
23  11  163.7728
24  11  165.4197
25  11  166.9751
24  12  183.6456
25  12  185.3899
26  12  187.0381
27  12  188.6063
26  13  206.1039
27  13  207.8464
28  13  209.5088
29  13  211.0925
26  14  225.6943
27  14  227.6334
28  14  229.4733
29  14  231.2396
28  15  250.595
29  15  252.5758
30  15  254.4789
31  15  256.3011
29  16  271.9045
30  16  273.912
31  16  275.843
32  16  277.685
30  17  294.5776
31  17  296.6518
32  17  298.6495
33  17  300.556
35  18  325.8508
36  18  327.6645
37  18  329.4171
38  18  331.0929
37  19  351.0574
38  19  352.846
39  19  354.557
40  19  356.21
42  20  381.8344
43  20  383.3959
44  20  384.8914
45  20  386.3312
42  21  404.7912
43  21  406.4523
44  21  408.0552
45  21  409.5904
46  22  433.9718
47  22  435.474
48  22  436.9113
49  22  438.2987
50  23  462.9816
51  23  464.3248
52  23  465.6209
53  23  466.8671
54  24  490.4351
55  24  491.6089
56  24  492.7336
57  24  493.8129
58  25  518.0635
59  25  519.0816
60  25  520.0559
61  25  520.9849
55  26  538.2115
56  26  539.4058
57  26  540.5526
58  26  541.6508
54  27  559.8056
55  27  561.0651
56  27  562.2762
57  27  563.4391
58  28  590.5893
59  28  591.7311
60  28  592.8273
61  28  593.8794
